,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
21,"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.881,63.22,63.551,63.873000000000005,64.189,64.498,64.8,65.095,65.383,65.665,65.943,66.218,66.49,66.759,67.027,67.291,67.55,67.803,68.05,68.29,68.524,68.755,68.984,69.212,69.438,69.663,69.88600000000001,70.104,70.316,70.518,70.705,70.869,71.01,71.131,71.23899999999999,71.351,71.482,71.646,71.85,72.093,72.37,72.668,72.971,73.264,73.538,73.78699999999999,74.012,74.218,74.41,74.59100000000001,74.76100000000001
22,Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.353,61.019,61.646,62.243,62.818000000000005,63.381,63.94,64.499,65.059,65.62100000000001,66.187,66.756,67.32,67.867,68.39,68.872,69.296,69.657,69.954,70.193,70.399,70.601,70.82,71.061,71.315,71.53399999999999,71.65,71.626,71.461,71.185,70.877,70.645,70.577,70.72399999999999,71.09100000000001,71.643,72.306,72.977,73.572,74.057,74.413,74.653,74.824,74.967,75.096,75.223,75.35300000000001,75.486,75.619,75.758,75.905
23,Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.7080975609756,68.2126585365854,68.63582926829271,68.9920731707317,69.2899268292683,69.5374146341464,69.7346097560976,69.88165853658539,69.9826341463415,70.0451463414634,70.079243902439,70.093,70.0924146341464,70.0824390243902,70.06807317073171,70.04826829268289,70.0159024390244,69.9674146341464,69.9063170731707,69.84163414634149,69.8020243902439,69.8191707317073,69.9082195121951,70.0646585365854,70.2719268292683,70.9926829268293,71.549512195122,70.990243902439,71.34146341463409,71.4829268292683,70.83658536585371,70.37804878048779,70.0219512195122,68.9707317073171,68.7682926829268,68.4609756097561,68.5121951219512,68.4609756097561,68.4073170731707,67.9073170731707,68.9121951219512,68.5073170731707,68.0560975609756,68.5536585365854,68.95609756097559,68.8512195121951,69.4048780487805,70.2073170731707,70.45609756097559,70.4073170731707,70.4048780487805
24,Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.981,60.531000000000006,61.092,61.663000000000004,62.24100000000001,62.823,63.402,63.971000000000004,64.525,65.058,65.566,66.047,66.50399999999999,66.939,67.354,67.751,68.135,68.509,68.874,69.229,69.577,69.921,70.257,70.575,70.865,71.11,71.294,71.405,71.437,71.38600000000001,71.24600000000001,71.01100000000001,70.696,70.325,69.922,69.517,69.143,68.82,68.568,68.4,68.329,68.35600000000001,68.46,68.619,68.815,69.023,69.218,69.385,69.517,69.611,69.676
25,Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,68.8978048780488,,,,,70.29,,,,,,,,,,72.3046341463415,,,,,,,,,,,74.02951219512201,,,,,,,,,77.8853658536585,77.8853658536585,78.0878048780488,78.33414634146341,78.48536585365859,78.6853658536586,78.8878048780488,78.9341463414634,79.2365853658537,79.3884390243903,79.2885365853658
26,Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,42.138000000000005,42.45399999999999,42.778,43.11,43.451,43.8,44.157,44.523,44.898,45.28,45.67100000000001,46.07,46.477,46.891999999999996,47.315,47.745,48.183,48.629,49.082,49.543,50.012,50.489,50.974,51.466,51.965,52.472,52.986000000000004,53.507,54.034,54.566,55.104,55.647,56.195,56.747,57.303000000000004,57.861999999999995,58.423,58.986999999999995,59.553999999999995,60.122,60.69,61.26,61.82899999999999,62.398999999999994,62.968,63.538000000000004,64.113,64.692,65.27199999999999,65.847,66.408
27,Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.24100000000001,54.754,55.27,55.785,56.293,56.794,57.288999999999994,57.776,58.254,58.717,59.153999999999996,59.556999999999995,59.919,60.24100000000001,60.527,60.782,61.016999999999996,61.244,61.476000000000006,61.721000000000004,61.983000000000004,62.263999999999996,62.559,62.86600000000001,63.185,63.513999999999996,63.852,64.197,64.55199999999999,64.917,65.3,65.708,66.14399999999999,66.607,67.095,67.6,68.112,68.622,69.12,69.59899999999999,70.055,70.486,70.896,71.29,71.67,72.04,72.405,72.768,73.12899999999999,73.488,73.83800000000001
28,Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.001999999999995,61.481,61.964,62.451,62.94,63.426,63.9,64.355,64.786,65.191,65.569,65.922,66.257,66.58,66.89399999999999,67.203,67.51,67.816,68.12,68.42399999999999,68.726,69.024,69.317,69.602,69.878,70.145,70.405,70.658,70.905,71.14699999999999,71.383,71.61399999999999,71.84100000000001,72.061,72.275,72.48100000000001,72.678,72.865,73.043,73.21300000000001,73.377,73.535,73.691,73.847,74.00399999999999,74.163,74.324,74.486,74.648,74.811,74.973
29,Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.467,63.016999999999996,63.544,64.044,64.515,64.957,65.375,65.77600000000001,66.167,66.55,66.928,67.3,67.665,68.021,68.369,68.706,69.032,69.347,69.65100000000001,69.945,70.23,70.509,70.78399999999999,71.056,71.32600000000001,71.595,71.86399999999999,72.132,72.39699999999999,72.65899999999999,72.916,73.167,73.413,73.65100000000001,73.883,74.11,74.332,74.551,74.76899999999999,74.985,75.202,75.425,75.65,75.875,76.093,76.291,76.455,76.577,76.656,76.699,76.719
30,Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,34.525999999999996,34.889,35.29,35.734,36.22,36.745,37.303000000000004,37.882,38.469,39.056999999999995,39.635,40.194,40.735,41.263000000000005,41.784,42.31100000000001,42.861000000000004,43.446999999999996,44.077,44.751000000000005,45.464,46.20399999999999,46.95399999999999,47.702,48.442,49.173,49.901,50.632,51.372,52.122,52.879,53.637,54.393,55.146,55.898,56.657,57.431999999999995,58.231,59.055,59.898999999999994,60.758,61.625,62.483999999999995,63.321999999999996,64.126,64.882,65.578,66.214,66.792,67.315,67.79
